time_bin,clouds,rain_1h,snow_1h,wind_speed,wind_deg,humidity,press,temp,temp_feels,temp_max,temp_min,park_name,sunrise_time,sunset_time,status,detailed_status,status_good,status_maybe,status_bad
2020-04-02 16:05:00,,,,37.1,,,,52.07,,,,,,,,,1,0,
2020-04-02 16:50:00,,,,37.1,,,,55.040000000000006,,,,,,,,,1,0,
2020-04-02 17:50:00,,,,44.6,,,,57.02,,,,,,,,,1,0,
2020-04-02 19:05:00,,,,43.475,,,,58.19,,,,,,,,,1,0,
2020-04-02 20:05:00,,,,46.85,,,,58.505,,,,,,,,,1,0,
2020-04-03 07:05:00,,,,41.825,,,,46.265,,,,,,,,,0,1,
2020-04-03 08:50:00,,,,29.5,,,,46.04,,,,,,,,,0,1,
2020-04-03 10:05:00,,,,28.7,,,,44.96,,,,,,,,,0,1,
2020-04-03 18:50:00,,,,40.7,,,,51.08,,,,,,,,,0,1,
2020-04-04 07:20:00,,,,25.0,,,,48.92,,,,,,,,,0,1,
